Full Name,Job Title,Department,Business Unit,Gender,Ethnicity,Age,Hire Date,Annual Salary,Bonus %,Country,City,Exit Date,is_exited,,,,,,,,,,,
Emily Davis,Sr. Manger,IT,Research & Development,Female,Black,55,04-08-2016,"$1,41,604",15%,United States,Seattle,16-10-2021, YES,,,,,,,,,,,
Theodore Dinh,Technical Architect,IT,Manufacturing,Male,Asian,59,29-11-1997,"$99,975.00",0%,China,Chongqing,,NO,,,,,,,,,,,
Luna Sanders,Director,Finance,Speciality Products,Female,Caucasian,50,26-10-2006,"$1,63,099",20%,United States,Chicago,,NO,,,,,,,,,,,
Penelope Jordan,Computer Systems Manager,IT,Manufacturing,Female,Caucasian,26,27-09-2019,"$84,913.00",7%,United States,Chicago,,NO,,,,,,,,,,,
Austin Vo,Sr. Analyst,Finance,Manufacturing,Male,Asian,55,20-11-1995,"$95,409.00",0%,United States,Phoenix,,NO,,,,,,,,,,,
Joshua Gupta,Account Representative,Sales,Corporate,Male,Asian,57,24-01-2017,"$50,994.00",0%,China,Chongqing,,NO,,,,,,,,,,,
Ruby Barnes,Manager,IT,Corporate,Female,Caucasian,27,07-01-2020,"$1,19,746",10%,United States,Phoenix,,NO,,,,,,,,,,,
Luke Martin,Analyst,Finance,Manufacturing,Male,Black,25,16-05-2020,"$41,336.00",0%,United States,Miami,20-05-2021, YES,,,,,,,,,,,
Easton Bailey,Manager,Accounting,Manufacturing,Male,Caucasian,29,25-01-2019,"$1,13,527",6%,United States,Austin,,NO,,,,,,,,,,,
Madeline Walker,Sr. Analyst,Finance,Speciality Products,Female,Caucasian,34,13-06-2018,"$77,203.00",0%,United States,Chicago,,NO,,,,,,,,,,,
Savannah Ali,Sr. Manger,Human Resources,Manufacturing,Female,Asian,36,02-11-2009,"$1,57,333",15%,United States,Miami,,NO,,,,,,,,,,,
Camila Rogers,Controls Engineer,Engineering,Speciality Products,Female,Caucasian,27,21-10-2021,"$1,09,851",0%,United States,Seattle,,NO,,,,,,,,,,,
Eli Jones,Manager,Human Resources,Manufacturing,Male,Caucasian,59,14-03-1999,"$1,05,086",9%,United States,Austin,,NO,,,,,,,,,,,
Everleigh Ng,Sr. Manger,Finance,Research & Development,Female,Asian,51,06-10-2021,"$1,46,742",10%,China,Shanghai,,NO,,,,,,,,,,,
Robert Yang,Sr. Analyst,Accounting,Speciality Products,Male,Asian,31,11-04-2017,"$97,078.00",0%,United States,Austin,03-09-2020, YES,,,,,,,,,,,
Isabella Xi,Vice President,Marketing,Research & Development,Female,Asian,41,13-03-2013,"$2,49,270",30%,United States,Seattle,,NO,,,,,,,,,,,
Bella Powell,Director,Finance,Research & Development,Female,Black,65,03-04-2002,"$1,75,837",20%,United States,Phoenix,,NO,,,,,,,,,,,
Luke Martin,Analyst,Finance,Manufacturing,Male,Black,25,16-05-2020,"$41,336.00",0%,United States,Miami,20-05-2021, YES,,,,,,,,,,,
Camila Silva,Sr. Manger,Marketing,Speciality Products,Female,Latino,64,12-01-2003,"$1,54,828",13%,United States,Seattle,,NO,,,,,,,,,,,
David Barnes,Director,IT,Corporate,Male,Caucasian,64,11-03-2013,"$1,86,503",24%,United States,Columbus,,NO,,,,,,,,,,,
Adam Dang,Director,Sales,Research & Development,Male,Asian,45,07-09-2002,"$1,66,331",18%,China,Chongqing,,NO,,,,,,,,,,,
Elias Alvarado,Sr. Manger,IT,Manufacturing,Male,Latino,56,01-09-2012,"$1,46,140",10%,Brazil,Manaus,,NO,,,,,,,,,,,
Eva Rivera,Director,Sales,Manufacturing,Female,Latino,36,04-02-2021,"$1,51,703",21%,United States,Miami,,NO,,,,,,,,,,,
Logan Rivera,Director,IT,Research & Development,Male,Latino,59,24-05-2002,"$1,72,787",28%,Brazil,Rio de Janerio,,NO,,,,,,,,,,,
Leonardo Dixon,Analyst,Sales,Speciality Products,Male,Caucasian,37,09-05-2019,"$49,998.00",0%,United States,Seattle,,NO,,,,,,,,,,,
Mateo Her,Vice President,Sales,Speciality Products,Male,Asian,44,03-02-2014,"$2,07,172",31%,China,Chongqing,,NO,,,,,,,,,,,
Jose Henderson,Director,Human Resources,Speciality Products,Male,Black,41,17-04-2015,"$1,52,239",23%,United States,Columbus,,NO,,,,,,,,,,,
Abigail Mejia,Quality Engineer,Engineering,Corporate,Female,Latino,56,02-05-2005,"$98,581.00",0%,Brazil,Rio de Janerio,,NO,,,,,,,,,,,
Wyatt Chin,Vice President,Engineering,Speciality Products,Male,Asian,43,06-07-2004,"$2,46,231",31%,United States,Seattle,,NO,,,,,,,,,,,
Carson Lu,Engineering Manager,Engineering,Speciality Products,Male,Asian,64,12-04-1996,"$99,354.00",12%,China,Beijing,,NO,,,,,,,,,,,
Dylan Choi,Vice President,IT,Corporate,Male,Asian,63,05-11-2012,"$2,31,141",34%,China,Beijing,,NO,,,,,,,,,,,
Ezekiel Kumar,IT Coordinator,IT,Research & Development,Male,Asian,28,25-06-2017,"$54,775.00",0%,United States,Columbus,,NO,,,,,,,,,,,
Dominic Guzman,Analyst,Finance,Manufacturing,Male,Latino,65,16-05-2004,"$55,499.00",0%,Brazil,Manaus,,NO,,,,,,,,,,,
Angel Powell,Analyst II,Sales,Research & Development,Male,Caucasian,61,07-11-2008,"$66,521.00",0%,United States,Seattle,,NO,,,,,,,,,,,
Mateo Vu,Account Representative,Sales,Speciality Products,Male,Asian,30,29-09-2016,"$59,100.00",0%,China,Chongqing,,NO,,,,,,,,,,,
Caroline Jenkins,Analyst,Finance,Research & Development,Female,Caucasian,27,05-06-2018,"$49,011.00",0%,United States,Chicago,,NO,,,,,,,,,,,
Nora Brown,Enterprise Architect,IT,Manufacturing,Female,Caucasian,32,02-11-2014,"$99,575.00",0%,United States,Austin,,NO,,,,,,,,,,,
Adeline Huang,Controls Engineer,Engineering,Manufacturing,Female,Asian,34,16-12-2019,"$99,989.00",0%,China,Chengdu,,NO,,,,,,,,,,,
Jackson Perry,Vice President,Marketing,Research & Development,Male,Caucasian,27,20-10-2019,"$2,56,420",30%,United States,Phoenix,,NO,,,,,,,,,,,
